model,mean_smape_percent,Q0_TOTAL_ASSETS,Q0_TOTAL_LIABILITIES,Q0_TOTAL_STOCKHOLDERS_EQUITY,Q0_GROSS_PROFIT,Q0_COST_OF_REVENUES,Q0_REVENUES,Q0_OPERATING_INCOME,Q0_OPERATING_EXPENSES,Q0_EBITDA
lightgbm,29.300993131737805,14.986739460163909,16.698350415454616,21.452983326390946,35.74157750029652,22.89824324621582,19.744757839862064,59.49138342338382,12.493592507048819,60.20131046682374
hist_gradient_boosting,31.28560907655538,18.06867010081767,19.86619620263949,24.08073630614802,36.47380241902604,24.829885248637996,21.21195203479598,60.7564321894122,14.83082728589807,61.451979901622956
random_forest,32.935206653616746,4.334836068512795,9.903894567268598,10.438126002825102,39.17882423635118,39.8986593822762,27.110998806253882,68.33463833160368,25.181392248629823,72.0354902388295
