target,method,smape_percent,sign_accuracy_percent
Q0_OPERATING_INCOME,lightgbm_base_raw,59.49138342338382,91.549
Q0_OPERATING_INCOME,lightgbm_raw_lag,59.0032550737048,91.66499999999999
Q0_OPERATING_INCOME,lightgbm_arcsinh_lag,51.84160717687122,92.662
Q0_EBITDA,lightgbm_base_raw,60.20131046682374,91.64
Q0_EBITDA,lightgbm_raw_lag,59.20760752805529,91.757
Q0_EBITDA,lightgbm_arcsinh_lag,50.35651413686492,92.833
Q0_GROSS_PROFIT,lightgbm_base_raw,35.74157750029652,
Q0_GROSS_PROFIT,lightgbm_raw_lag,35.884145564765404,
Q0_GROSS_PROFIT,lightgbm_arcsinh_lag,23.144757854467265,
