method,mean_smape_percent,Q0_TOTAL_ASSETS,Q0_TOTAL_LIABILITIES,Q0_TOTAL_STOCKHOLDERS_EQUITY,Q0_GROSS_PROFIT,Q0_COST_OF_REVENUES,Q0_REVENUES,Q0_OPERATING_INCOME,Q0_OPERATING_EXPENSES,Q0_EBITDA
q1,47.37687367983361,37.3019233798146,10.050773619630275,75.54958700819243,30.303955286330414,18.05066334952094,17.99916431944057,105.91112741631801,31.129751476916596,100.09491726233865
mean_q1_q2,50.31579851038978,45.34366804447199,20.203612636421347,80.66527742958371,30.959669833419014,20.689452123380004,21.263478478274525,104.154619707549,31.11705026428682,98.44535807612162
weighted_q1_q4,58.90788749797639,73.84985678982433,43.62813036348967,106.2640490235901,31.288893993162542,21.258049542827408,22.75622812881492,102.95930780605119,30.48202271155105,97.68444912247628
mean_q1_q4,82.00157693682269,141.98341608916408,117.73653937583866,159.62665852593935,33.068693788144664,26.631080025350784,28.879315255879657,101.9373179911526,31.782171733483978,96.36899964645043
