model,target,derived_formula,direct_weight,smape_percent
lightgbm,Q0_REVENUES,gross_profit_plus_cost,0.0,21.13833362003319
lightgbm,Q0_REVENUES,gross_profit_plus_cost,0.25,20.42604695875965
lightgbm,Q0_REVENUES,gross_profit_plus_cost,0.5,19.941764716289466
lightgbm,Q0_REVENUES,gross_profit_plus_cost,0.75,19.69903294917847
lightgbm,Q0_REVENUES,gross_profit_plus_cost,1.0,19.744757839862064
lightgbm,Q0_GROSS_PROFIT,revenues_minus_cost,0.0,36.78979450275084
lightgbm,Q0_GROSS_PROFIT,revenues_minus_cost,0.25,35.31300672604366
lightgbm,Q0_GROSS_PROFIT,revenues_minus_cost,0.5,34.606375006162274
lightgbm,Q0_GROSS_PROFIT,revenues_minus_cost,0.75,34.70208256813551
lightgbm,Q0_GROSS_PROFIT,revenues_minus_cost,1.0,35.74157750029652
lightgbm,Q0_GROSS_PROFIT,operating_income_plus_expenses,0.0,46.14732526368777
lightgbm,Q0_GROSS_PROFIT,operating_income_plus_expenses,0.25,40.36273212775361
lightgbm,Q0_GROSS_PROFIT,operating_income_plus_expenses,0.5,34.768484978045464
lightgbm,Q0_GROSS_PROFIT,operating_income_plus_expenses,0.75,33.83005641866021
lightgbm,Q0_GROSS_PROFIT,operating_income_plus_expenses,1.0,35.74157750029652
lightgbm,Q0_COST_OF_REVENUES,revenues_minus_gross_profit,0.0,28.349338770776495
lightgbm,Q0_COST_OF_REVENUES,revenues_minus_gross_profit,0.25,25.957728360878583
lightgbm,Q0_COST_OF_REVENUES,revenues_minus_gross_profit,0.5,24.021461263343618
lightgbm,Q0_COST_OF_REVENUES,revenues_minus_gross_profit,0.75,22.861092230425594
lightgbm,Q0_COST_OF_REVENUES,revenues_minus_gross_profit,1.0,22.89824324621582
lightgbm,Q0_OPERATING_INCOME,gross_profit_minus_expenses,0.0,60.629396928126624
lightgbm,Q0_OPERATING_INCOME,gross_profit_minus_expenses,0.25,56.341147045093024
