fold,mean_smape_percent,Q0_TOTAL_ASSETS,Q0_TOTAL_LIABILITIES,Q0_TOTAL_STOCKHOLDERS_EQUITY,Q0_GROSS_PROFIT,Q0_COST_OF_REVENUES,Q0_REVENUES,Q0_OPERATING_INCOME,Q0_OPERATING_EXPENSES,Q0_EBITDA
1,21.2403236097547,4.519143833366135,10.129652745864554,10.636572422205075,22.822674846496753,18.295336274689255,13.838637651114094,50.05138222675327,10.928363671491987,49.94114881581119
2,21.067602508797723,4.390391009112088,9.643413271997096,10.29007007359746,22.915501496223296,17.733753060314726,13.717015088574458,49.8875624563396,11.197571228266138,49.83314489475466
3,21.436593387856615,4.51348930230874,10.01488189242488,10.760358429972053,23.336770048495996,18.229404433170295,13.908174604674468,51.01662076324842,11.055964993759721,50.09367602265497
4,21.131053010265553,4.097749212411424,9.26422754972293,9.807522270083222,23.179794603289285,17.979687288138287,13.577633567590421,50.710764701410746,10.823780572388598,50.738317327355084
5,21.37905395241792,4.153406985365589,9.228272895662172,9.883564688160844,23.46904827783097,18.015135691292134,13.983701283100004,51.28482082714856,11.217251299452338,51.17628362374867
