target,config,smape_percent,fold_1_smape_percent,fold_2_smape_percent,fold_3_smape_percent,fold_4_smape_percent,fold_5_smape_percent
Q0_TOTAL_ASSETS,large_leaf,3.326400327463354,3.213532847807469,3.3513080397791906,3.4146662816570075,3.3848829568035024,3.2676115112696005
Q0_TOTAL_ASSETS,baseline,4.591114389055454,4.529434895963089,4.67777536324009,4.6649240195321156,4.623644952542585,4.45979271399939
Q0_TOTAL_ASSETS,slow,4.6084010482493,4.452299109180883,4.657962820964748,4.6128851596160585,4.752451970514529,4.566406180970282
Q0_TOTAL_ASSETS,l1,4.882708162083933,5.0135008789425655,4.773731506046657,4.729792040455817,4.872634022401906,5.023882362572722
Q0_TOTAL_ASSETS,small_leaf,7.090152152358439,7.262112410362863,7.037251361096344,7.132511785888938,7.047940395180491,6.970944809263559
