target,config,smape_percent,fold_1_smape_percent,fold_2_smape_percent,fold_3_smape_percent,fold_4_smape_percent,fold_5_smape_percent
Q0_TOTAL_LIABILITIES,large_leaf,4.42527987950944,4.351908138890565,4.4899775358253216,4.500003412775213,4.419822868961224,4.364687441094879
Q0_TOTAL_LIABILITIES,slow,5.309173064460896,5.349440781063713,5.321548116672634,5.347299467106023,5.364173310253343,5.163403647208765
Q0_TOTAL_LIABILITIES,baseline,5.367434600258663,5.356494605402666,5.325558785869498,5.533002268434886,5.392821097544425,5.229296244041837
Q0_TOTAL_LIABILITIES,l1,5.791030658747918,5.872909922473634,5.8948241172677305,5.459613497837031,6.249136964340889,5.478668791820305
Q0_TOTAL_LIABILITIES,small_leaf,7.801575797480556,7.973600015047633,7.851998924268452,7.727587677358608,7.76364045586216,7.691051914865925
