fold,method,mean_smape_percent,Q0_TOTAL_ASSETS,Q0_TOTAL_LIABILITIES,Q0_TOTAL_STOCKHOLDERS_EQUITY,Q0_GROSS_PROFIT,Q0_COST_OF_REVENUES,Q0_REVENUES,Q0_OPERATING_INCOME,Q0_OPERATING_EXPENSES,Q0_EBITDA
1,raw,28.939717665505807,14.870597521230867,16.037928600558228,21.370633484672936,35.50496121719766,22.27794601349381,19.283316381296288,59.26487616138897,12.200604101593148,59.646595508120335
1,arcsinh,19.068053983341823,4.529434895963089,5.356494605402666,9.173400930255566,23.02363176145087,11.50532210331977,9.217862466711491,51.84324254515501,6.140491882027253,50.822604659790706
2,raw,29.182175283958095,14.617477822428251,16.64034841786303,21.32720913092567,35.809213893512414,22.585217620387883,19.625865280619863,59.59368843697581,12.49262646899625,59.947930483913694
2,arcsinh,19.235247436011203,4.677608666594021,5.325558785869498,9.255712277646303,23.447580505716758,11.539081591378881,9.174959390281098,52.28003466216258,6.145073093185647,51.271617951266045
3,raw,29.33936225141973,15.40820570784904,17.22921808598326,21.16245030532517,35.85472686729425,22.88302421793456,19.764975514806686,58.97060430261051,12.560957813030132,60.22009744794398
3,arcsinh,19.227799747528938,4.6649240195321156,5.533002268434886,9.305072856683246,23.32589298655985,11.737734749814756,9.548725376196527,51.7651272261593,6.262318776354602,50.90739946802514
4,raw,29.189051370133978,14.915367360430393,16.698913468624752,21.146975007293474,36.51211484242064,22.34042012367833,19.692468220579247,59.29328502606395,12.346281958708373,59.75563632340665
4,arcsinh,19.038553794709248,4.623644952542585,5.392821097544425,9.323488833943097,23.800836982612665,11.340041253038098,9.356848315717524,51.11543231945615,6.2220691101027645,50.171801287425936
5,raw,29.05956486494874,14.849443163169484,16.27264483816768,21.683664112926735,35.85919425002644,22.982344181818988,19.528944430619166,59.15963640847601,12.295827998620085,58.90438440071408
5,arcsinh,18.932766214000267,4.45979271399939,5.229296244041837,9.400912212869848,23.388522672452307,11.909692326876508,9.472652250878307,50.772390472207306,6.151521209404234,49.61011582327264
