target,raw_smape_percent,arcsinh_smape_percent,arcsinh_improvement_pp
Q0_TOTAL_ASSETS,14.93221831502161,4.591081049726239,10.34113726529537
Q0_TOTAL_LIABILITIES,16.57581068223939,5.367434600258663,11.208376081980727
Q0_TOTAL_STOCKHOLDERS_EQUITY,21.3381864082288,9.291717422279614,12.046468985949186
Q0_GROSS_PROFIT,35.90804221409028,23.39729298175849,12.51074923233179
Q0_COST_OF_REVENUES,22.613790431462714,11.606374404885603,11.007416026577111
Q0_REVENUES,19.57911396558425,9.35420955995699,10.224904405627258
Q0_OPERATING_INCOME,59.25641806710304,51.55524544502808,7.701172622074964
Q0_OPERATING_EXPENSES,12.379259668189597,6.1842948142148995,6.194964853974698
Q0_EBITDA,59.69492883281976,50.5567078379561,9.138220994863666
