fold,mean_smape_percent,Q0_TOTAL_ASSETS,Q0_TOTAL_LIABILITIES,Q0_TOTAL_STOCKHOLDERS_EQUITY,Q0_GROSS_PROFIT,Q0_COST_OF_REVENUES,Q0_REVENUES,Q0_OPERATING_INCOME,Q0_OPERATING_EXPENSES,Q0_EBITDA
1,21.21826845302046,4.286056181765723,9.216397064233686,10.310466883217787,23.214795625554295,18.092713470794447,13.891537035577468,50.33982039206031,11.176135783968302,50.43649364001214
2,21.164038810290965,4.271548222844295,9.814531079428294,10.307053882221012,23.084042545838265,18.005165262797483,13.771143822303882,50.083670483221795,10.884254175019935,50.25493981894375
3,21.205746044930642,4.357524677517298,10.150579201705298,10.316080095253119,23.081850815122607,18.190094635279973,13.812330676632783,50.260246674007725,10.929201440730802,49.75380618812616
4,21.2484281484099,4.282879864018897,9.147405894283747,9.841172862726081,22.782503589891853,17.85945453204674,13.726752763696453,51.48152915583214,11.059770620198973,51.05438405299421
5,21.19566695000838,4.171954979197741,9.10320922793534,10.011284576063677,23.290917502274063,18.105888846686057,13.669848311271071,50.84412120228898,11.023210667908797,50.5405672364497
