fold,mean_smape_percent,Q0_TOTAL_ASSETS,Q0_TOTAL_LIABILITIES,Q0_TOTAL_STOCKHOLDERS_EQUITY,Q0_GROSS_PROFIT,Q0_COST_OF_REVENUES,Q0_REVENUES,Q0_OPERATING_INCOME,Q0_OPERATING_EXPENSES,Q0_EBITDA
1,20.957403081930767,4.100834872242666,9.13050232527792,9.544057444325539,22.64086917671473,17.785299002448753,13.569436802509632,50.576525224621285,10.721171035750809,50.547931853485565
2,21.386738786485562,4.274709739840358,9.495719124164426,10.03356321552434,23.107593429173075,18.17977761324761,13.775863638094531,51.107195123817775,11.282986817265702,51.22324037724225
3,21.314296380558844,4.436003420336827,9.570270236254562,10.456400038131665,23.035869416772666,17.98551125579524,13.718323898717316,50.95903938630575,11.106974346278284,50.560275426437286
4,21.212491232575175,4.242468051873775,9.774242908732202,10.377337061015329,23.486806639060642,18.042040277827628,13.693417589627618,50.19745358659473,11.032202586314813,50.06645239212983
5,21.101077300939753,4.299638677003834,9.781724583080052,10.545740493273529,23.012942967094897,18.26068859828547,14.042452704381336,49.77207088691101,10.815117999261975,49.37931879916568
