target,training_mean,validation_smape_percent
Q0_TOTAL_ASSETS,5401713730.641936,137.67627754724114
Q0_TOTAL_LIABILITIES,2390484198.3020844,141.1114450724846
Q0_TOTAL_STOCKHOLDERS_EQUITY,3011229532.3398514,135.53909683911388
Q0_GROSS_PROFIT,272278610.35885537,138.23393012209064
Q0_COST_OF_REVENUES,467282398.2582713,144.39801159407696
Q0_REVENUES,739569738.7485332,140.80915720762536
Q0_OPERATING_INCOME,-61630555.97053101,128.2922823293247
Q0_OPERATING_EXPENSES,333909166.32938635,127.71038836494711
Q0_EBITDA,-65859044.8396386,131.59607223576054
