fold,locked_mean_smape_percent,candidate_mean_smape_percent,improvement_pp
1,21.21826845302046,16.61510973647942,4.603158716541042
2,21.164038810290965,16.504313763754002,4.659725046536963
3,21.205746044930642,16.482771830883664,4.722974214046978
4,21.2484281484099,16.676765837173697,4.571662311236203
5,21.19566695000838,16.580743494937234,4.614923455071146
