target,method,dev_mean_smape_before,dev_mean_smape_after,fold_wins
Q0_TOTAL_ASSETS,search_large_leaf,21.194401356498023,21.037404792735526,5
Q0_TOTAL_LIABILITIES,search_large_leaf,21.037404792735526,20.490249436886778,5
Q0_TOTAL_STOCKHOLDERS_EQUITY,search_large_leaf,20.490249436886778,20.28405539527359,5
Q0_GROSS_PROFIT,search_l1,20.28405539527359,19.983500609871093,5
Q0_COST_OF_REVENUES,search_l1,19.983500609871093,18.557322247099094,5
Q0_REVENUES,locked,18.557322247099094,18.557322247099094,0
Q0_OPERATING_INCOME,sign_magnitude,18.557322247099094,18.030126611323745,5
Q0_OPERATING_EXPENSES,search_large_leaf,18.030126611323745,17.368482365728838,5
Q0_EBITDA,sign_magnitude,17.368482365728838,16.541266493050276,5
